"...1","SegmentR","PEPR","AgeR","TimeRelationR","IncomeSourceR","ActivityR","NationalityR","CommonAddR","ProductTR","SubproductR","OperationTR","MonetaryInstR","DivisaR","ChannelR","OperabilitySR","OGoverR","SARR","VMR","VOR","SumSeR","SumReR","RSR","AAR","SendingNumR","ReceivingNumR","StateOpeR","StateResR","MunOpeR","MunResR","CountryR","row_median","tag"
18,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,80,100,85,85,65,90,80,80,90,80,100,90,100,90,"High"
19,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,100,65,65,65,90,80,80,90,80,100,90,100,90,"High"
20,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,65,85,90,80,80,90,80,100,90,100,90,"High"
21,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,85,65,70,80,80,90,80,100,90,100,90,"High"
22,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100,90,"High"
23,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,80,85,65,85,90,80,80,90,80,100,90,100,90,"High"
24,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100,100,"High"
25,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,65,85,65,90,80,80,90,80,100,90,100,100,"High"
26,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,65,65,90,80,80,90,80,100,90,100,90,"High"
27,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,100,65,65,65,90,80,80,90,80,100,90,100,100,"High"
28,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,65,85,90,80,80,90,80,100,90,100,100,"High"
29,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,85,65,70,80,80,90,80,100,90,100,90,"High"
30,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,65,85,90,80,80,90,80,100,90,100,100,"High"
31,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,65,65,65,70,80,80,90,80,100,90,100,80,"Mid"
32,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
33,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,85,85,65,90,80,80,90,80,100,90,100,100,"High"
34,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,65,65,70,80,80,90,80,100,90,100,100,"High"
35,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,65,65,70,80,80,90,80,100,90,100,100,"High"
36,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,80,65,65,85,90,80,80,90,80,100,90,100,90,"High"
37,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,100,80,65,85,65,90,80,80,90,80,100,90,100,90,"High"
38,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,85,65,70,80,80,90,80,100,90,100,100,"High"
39,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,85,65,85,70,80,80,90,80,100,90,100,90,"High"
40,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100,90,"High"
41,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100,90,"High"
42,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100,90,"High"
43,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,80,65,85,65,90,80,80,90,80,100,90,100,90,"High"
44,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,80,65,85,65,70,80,80,90,80,100,90,100,85,"High"
45,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,65,65,85,90,80,80,90,80,100,90,100,100,"High"
46,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100,90,"High"
47,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100,100,"High"
48,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,85,85,85,90,80,80,90,80,100,90,100,100,"High"
49,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,80,65,65,65,70,80,80,90,80,100,90,100,90,"High"
50,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,100,65,85,85,90,80,80,90,80,100,90,100,90,"High"
51,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100,100,"High"
52,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,100,85,85,65,90,80,80,90,80,100,90,100,100,"High"
53,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,65,65,85,90,80,80,90,80,100,90,100,90,"High"
54,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,65,70,80,80,90,80,100,90,100,100,"High"
55,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,100,85,85,85,70,80,80,90,80,100,90,100,90,"High"
56,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,65,65,85,70,80,80,90,80,100,90,100,100,"High"
57,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,65,65,85,70,80,80,90,80,100,90,100,90,"High"
58,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
59,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,100,85,85,65,70,80,80,90,80,100,90,100,90,"High"
60,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,100,85,65,65,70,80,80,90,80,100,90,100,100,"High"
61,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,80,65,85,65,70,80,80,90,80,100,90,100,100,"High"
62,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,80,85,85,65,70,80,80,90,80,100,90,100,90,"High"
63,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,80,65,65,65,70,80,80,90,80,100,90,100,90,"High"
64,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100,100,"High"
65,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,80,85,85,65,90,80,80,90,80,100,90,100,90,"High"
66,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,65,65,85,90,80,80,90,80,100,90,100,100,"High"
67,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,85,65,65,70,80,80,90,80,100,90,100,100,"High"
68,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,80,80,65,85,85,70,80,80,90,80,100,90,100,90,"High"
69,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,100,85,65,65,70,80,80,90,80,100,90,100,100,"High"
70,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100,100,"High"
71,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,65,65,85,70,80,80,90,80,100,90,100,100,"High"
72,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100,90,"High"
73,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,85,85,90,80,80,90,80,100,90,100,90,"High"
74,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,80,85,85,85,90,80,80,90,80,100,90,100,90,"High"
75,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,80,65,65,65,70,80,80,90,80,100,90,100,100,"High"
76,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,85,65,90,80,80,90,80,100,90,100,90,"High"
77,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,85,85,65,70,80,80,90,80,100,90,100,100,"High"
78,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100,90,"High"
79,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,80,65,85,85,90,80,80,90,80,100,90,100,90,"High"
80,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,85,85,65,70,80,80,90,80,100,90,100,100,"High"
81,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,65,85,65,90,80,80,90,80,100,90,100,100,"High"
82,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,85,85,90,80,80,90,80,100,90,100,100,"High"
83,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,85,65,85,70,80,80,90,80,100,90,100,90,"High"
84,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100,90,"High"
85,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,85,85,65,90,80,80,90,80,100,90,100,90,"High"
86,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,85,90,80,80,90,80,100,90,100,100,"High"
87,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,65,65,65,70,80,80,90,80,100,90,100,100,"High"
88,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,65,65,85,90,80,80,90,80,100,90,100,90,"High"
89,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100,90,"High"
90,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,80,65,65,65,90,80,80,90,80,100,90,100,90,"High"
91,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,65,65,65,90,80,80,90,80,100,90,100,91,"High"
92,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100,100,"High"
93,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,65,85,70,80,80,90,80,100,90,100,93,"High"
94,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100,100,"High"
95,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,100,65,85,85,70,80,80,90,80,100,90,100,95,"High"
96,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,85,65,70,80,80,90,80,100,90,100,100,"High"
97,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,80,85,65,65,70,80,80,90,80,100,90,100,90,"High"
98,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,80,85,65,85,70,80,80,90,80,100,90,100,98,"High"
99,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100,99,"High"
100,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
101,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,80,65,65,65,90,80,80,90,80,100,90,100,100,"High"
102,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,100,65,65,85,70,80,80,90,80,100,90,100,100,"High"
103,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,80,85,65,85,70,80,80,90,80,100,90,100,100,"High"
104,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,80,100,85,65,85,70,80,80,90,80,100,90,100,100,"High"
105,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,65,65,90,80,80,90,80,100,90,100,100,"High"
106,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,85,85,85,90,80,80,90,80,100,90,100,100,"High"
107,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,65,85,70,80,80,90,80,100,90,100,90,"High"
108,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,85,85,70,80,80,90,80,100,90,100,100,"High"
109,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,80,85,85,85,70,80,80,90,80,100,90,100,100,"High"
110,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,85,85,85,70,80,80,90,80,100,90,100,100,"High"
111,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,100,100,85,85,85,70,80,80,90,80,100,90,100,100,"High"
112,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,65,65,65,70,80,80,90,80,100,90,100,100,"High"
113,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,85,85,85,70,80,80,90,80,100,90,100,100,"High"
114,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
115,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,100,65,85,85,90,80,80,90,80,100,90,100,100,"High"
116,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,100,85,65,85,90,80,80,90,80,100,90,100,100,"High"
117,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,85,65,85,90,80,80,90,80,100,90,100,100,"High"
118,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,65,85,85,70,80,80,90,80,100,90,100,100,"High"
119,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,85,65,70,80,80,90,80,100,90,100,90,"High"
120,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,65,65,65,70,80,80,90,80,100,90,100,100,"High"
121,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100,100,"High"
122,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,100,85,65,65,70,80,80,90,80,100,90,100,100,"High"
123,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,85,85,85,90,80,80,90,80,100,90,100,100,"High"
124,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,85,65,85,90,80,80,90,80,100,90,100,100,"High"
125,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,80,65,85,65,90,80,80,90,80,100,90,100,90,"High"
126,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,80,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
127,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,100,65,85,65,90,80,80,90,80,100,90,100,90,"High"
128,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100,100,"High"
129,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,85,85,90,80,80,90,80,100,90,100,100,"High"
130,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,85,65,85,90,80,80,90,80,100,90,100,90,"High"
131,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,80,65,85,85,70,80,80,90,80,100,90,100,100,"High"
132,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,100,80,65,85,65,70,80,80,90,80,100,90,100,90,"High"
133,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,65,65,70,80,80,90,80,100,90,100,100,"High"
134,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100,100,"High"
135,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100,90,"High"
136,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100,100,"High"
137,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,85,65,65,90,80,80,90,80,100,90,100,100,"High"
138,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
139,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100,100,"High"
140,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,100,85,85,85,90,80,80,90,80,100,90,100,100,"High"
141,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,100,85,65,85,90,80,80,90,80,100,90,100,100,"High"
142,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100,100,"High"
143,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,65,85,90,80,80,90,80,100,90,100,100,"High"
144,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,100,85,65,85,70,80,80,90,80,100,90,100,100,"High"
145,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
146,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,85,85,65,70,80,80,90,80,100,90,100,100,"High"
147,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100,100,"High"
148,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,85,65,85,70,80,80,90,80,100,90,100,90,"High"
149,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,65,65,85,70,80,80,90,80,100,90,100,90,"High"
150,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,65,65,65,90,80,80,90,80,100,90,100,100,"High"
151,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,65,65,65,90,80,80,90,80,100,90,100,100,"High"
152,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100,100,"High"
153,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100,100,"High"
154,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,85,85,70,80,80,90,80,100,90,100,100,"High"
155,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,100,80,85,65,65,90,80,80,90,80,100,90,100,90,"High"
156,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,65,85,85,90,80,80,90,80,100,90,100,100,"High"
157,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,100,85,85,85,70,80,80,90,80,100,90,100,100,"High"
158,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,85,85,85,90,80,80,90,80,100,90,100,100,"High"
159,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,100,65,85,85,90,80,80,90,80,100,90,100,100,"High"
160,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,80,65,65,65,90,80,80,90,80,100,90,100,100,"High"
161,80,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,100,100,100,85,65,65,70,80,80,90,80,100,90,100,100,"High"
162,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,85,65,85,70,80,80,90,80,100,90,100,100,"High"
163,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,100,65,85,85,70,80,80,90,80,100,90,100,100,"High"
164,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,75,80,100,85,85,85,70,80,80,90,80,100,90,100,90,"High"
165,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100,90,"High"
166,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,100,80,85,85,65,90,80,80,90,80,100,90,100,100,"High"
167,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,65,85,70,80,80,90,80,100,90,100,100,"High"
168,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,80,65,85,85,70,80,80,90,80,100,90,100,100,"High"
169,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,80,65,65,65,90,80,80,90,80,100,90,100,90,"High"
170,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,80,80,65,85,85,70,80,80,90,80,100,90,100,100,"High"
171,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,80,100,65,65,65,90,80,80,90,80,100,90,100,100,"High"
172,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,100,85,65,65,90,80,80,90,80,100,90,100,100,"High"
173,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,100,85,85,85,70,80,80,90,80,100,90,100,90,"High"
174,100,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,100,100,100,85,65,85,90,80,80,90,80,100,90,100,100,"High"
175,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,65,65,90,80,80,90,80,100,90,100,100,"High"
176,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,80,80,85,85,65,70,80,80,90,80,100,90,100,100,"High"
177,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,100,100,65,65,65,70,80,80,90,80,100,90,100,100,"High"
178,80,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100,90,"High"
179,80,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,100,65,65,85,90,80,80,90,80,100,90,100,100,"High"
180,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,100,80,80,85,65,65,90,80,80,90,80,100,90,100,100,"High"
181,80,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,80,65,85,85,90,80,80,90,80,100,90,100,90,"High"
182,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,100,85,65,85,70,80,80,90,80,100,90,100,100,"High"
183,100,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100,100,"High"
184,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,80,100,65,85,65,70,80,80,90,80,100,90,100,90,"High"
185,80,100,100,100,100,100,100,70,100,100,100,100,100,100,100,70,75,100,80,65,85,85,70,80,80,90,80,100,90,100,100,"High"
186,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,65,65,85,90,80,80,90,80,100,90,100,100,"High"
187,100,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,80,100,65,85,65,90,80,80,90,80,100,90,100,100,"High"
188,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,100,100,80,65,65,65,90,80,80,90,80,100,90,100,100,"High"
189,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,80,80,85,65,65,70,80,80,90,80,100,90,100,100,"High"
190,80,100,100,100,100,100,100,70,100,75,100,100,100,100,100,70,75,100,80,85,65,85,90,80,80,90,80,100,90,100,100,"High"
191,100,100,100,100,100,100,100,70,100,100,100,100,80,70,100,70,75,80,80,85,85,85,90,80,80,90,80,100,90,100,90,"High"
192,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,70,75,100,80,85,85,65,70,80,80,90,80,100,90,100,100,"High"
193,100,100,100,100,100,100,100,70,100,75,100,100,80,70,100,70,100,100,80,65,65,65,70,80,80,90,80,100,90,100,100,"High"
194,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,100,80,80,85,65,85,90,80,80,90,80,100,90,100,90,"High"
195,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,100,100,100,85,85,65,90,80,80,90,80,100,90,100,100,"High"
196,80,100,100,100,100,100,100,70,100,75,100,100,80,100,100,70,75,100,100,65,85,65,90,80,80,90,80,100,90,100,100,"High"
197,80,100,100,100,100,100,100,70,100,100,100,100,100,70,100,70,75,100,80,65,65,85,70,80,80,90,80,100,90,100,100,"High"
198,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,100,100,80,85,85,85,70,80,80,90,80,100,90,100,100,"High"
199,100,100,100,100,100,100,100,70,100,75,100,100,100,70,100,70,75,80,100,65,85,85,90,80,80,90,80,100,90,100,100,"High"
